개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
중계4동주민센터 북카페(3층),중계4동주민센터,다목적실,연중무휴,09:00,18:00,10:00,13:00,N,,,,,10,35,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로82길 50,,서울특별시 노원구청,중계4동주민센터,02-2116-2714,http://yeyak.seoul.go.kr/,37.658728,127.077958,2022-08-17,3100000,서울특별시 노원구
상계1동주민센터 강의실(4층),상계1동주민센터,다목적실,토+일,18:00,20:00,00:00,00:00,N,,,,,50,271.79,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로 1697,,서울특별시 노원구청,상계1동 주민센터,02-2116-2747,http://yeyak.seoul.go.kr/,37.6799298430,127.054976,2022-08-17,3100000,서울특별시 노원구
상계1동주민센터 다목적실(5층),상계1동주민센터,다목적실,토+일,16:00,18:00,00:00,00:00,N,,,,,50,277.44,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로 1697,,서울특별시 노원구청,상계1동주민센터,02-2116-2747,http://yeyak.seoul.go.kr/,37.6799298430,127.054976,2022-08-17,3100000,서울특별시 노원구
평창군문화복지센터,평창군문화복지센터,기타,공휴일+일요일,09:00,22:00,09:00,18:00,Y,,"강당/다목적강당:80000(오전)+80000(오후)+100000(야간)+150,000(1일",,,80,,,문서,,강원도 평창군 평창읍 평창중앙로 67,강원도 평창군 평창읍 하리 113-1,강원도 평창군청,가족복지과,033-330-2040,,37.3687683,128.3948846126,2022-11-30,4280000,강원도 평창군
미탄복지회관,예식장,기타,연중무휴,09:00,18:00,09:00,18:00,Y,2,40000,,,,437.58,,문서,,강원도 평창군 미탄면 청옥산1길 3-9,강원도 평창군 미탄면 창리 617,강원도 평창군청,복지정책과,033-330-2116,,37.3424650268,128.4957214929,2022-11-30,4280000,강원도 평창군
미탄복지회관,피로연장,기타,연중무휴,09:00,18:00,09:00,18:00,Y,4,30000,,,,673.71,,문서,,강원도 평창군 피탄면 청옥산1길 13,강원도 평창군 미탄면 창리 607-1,강원도 평창군청,복지정책과,033-330-2116,,37.3428273,128.4962538,2022-11-30,4280000,강원도 평창군
방림복지회관,피로연장,기타,연중무휴,09:00,18:00,09:00,18:00,Y,4,30000,,,,659.68,,문서,,강원도 평창군 방림면 서동로 1338-3,강원도 평창군 방림면 방림리 1271-2,강원도 평창군청,복지정책과,033-330-2116,,37.4255601321,128.3940269430,2022-11-30,4280000,강원도 평창군
계촌복지회관,피로연장,기타,연중무휴,09:00,18:00,09:00,18:00,Y,4,30000,,,,587.92,,문서,,강원도 평창군 방림면 계촌길 101,강원도 평창군 방림면 계촌리 1410-10,강원도 평창군청,복지정책과,033-330-2116,,37.4523282793,128.3060731191,2022-11-30,4280000,강원도 평창군
봉평복지회관,피로연장,기타,연중무휴,09:00,18:00,09:00,18:00,Y,4,30000,,,,474.21,,문서,,강원도 평창군 봉평면 기풍4길 10,강원도 평창군 봉평면 창동리 345,강원도 평창군청,복지정책과,033-330-2116,,37.6161008842,128.3793247581,2022-11-30,4280000,강원도 평창군
우리누리청소년문화센터 도서관,우리누리청소년문화센터,기타,"매월 2째주, 4째주 일요일",10:00,19:00,10:00,18:00,N,,,,,50,118,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0320,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
우리누리청소년문화센터 소공연장,우리누리청소년문화센터,기타,"매월 2째주, 4째주 일요일",09:00,22:00,09:00,22:00,Y,,70000,,,200,258,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0315,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
우리누리청소년문화센터 다목적실,우리누리청소년문화센터,다목적실,"매월 2째주, 4째주 일요일",09:00,22:00,09:00,22:00,Y,,"50,000",,,40,96,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0315,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
우리누리청소년문화센터 체육관,우리누리청소년문화센터,체육관,"매월 2째주, 4째주 일요일",09:00,22:00,09:00,20:00,Y,,50000,,,630,1.159.57,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0315,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
늘푸른전당 공연장,늘푸른전당,기타,연중무휴,09:00,22:00,09:00,22:00,Y,,"80,000",2,40000,648,1037,"영상시설,피아노,음향, 조명,냉난방","방문,전화",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_02&Radd=02_01_01_02,경상남도 창원시 의창구 두대로 97,경상남도 창원시 의창구 삼동동 293,창원시설공단,늘푸른전당,055-712-0377,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
늘푸른전당 체육관,늘푸른전당,체육관,연중무휴,09:00,22:00,09:00,22:00,Y,4,3,2,20000,1000,842,냉난방,"방문,전화",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_03&Radd=02_01_01_03,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,창원시설공단,늘푸른전당,055-712-0354,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
늘푸른전당 수영장,늘푸른전당,기타,"매월 2째주, 4째주 일요일",06:00,20:00,06:00,18:00,Y,,3500,,,390,1287,사물함,"방문,전화,인터넷",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_04&Radd=02_01_01_04,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,창원시설공단,늘푸른전당,055-712-0379,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
늘푸른전당 헬스장,늘푸른전당,기타,"매월 2째주, 4째주 일요일",06:00,21:00,06:00,18:00,Y,,3000,,,226,226,사물함,"방문,전화,인터넷",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_05&Radd=02_01_01_05,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,창원시설공단,늘푸른전당,055-712-0380,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
고문1리 마을회관,고문1리 마을회관,기타,연중무휴,09:00,20:00,09:00,20:00,N,,,,,100,124,운동기구 3개+에어컨2대+PC2대,방문+전화,,경기도 연천군 연천읍 현문로 429,경기도 연천군 연천읍 고문리 310-11,경기도 연천군청,,031-839-2621,,38.06323141,127.1107236,2023-02-24,4140000,경기도 연천군
고문2리 마을회관,고문2리 마을회관,기타,연중무휴,09:00,20:00,09:00,20:00,N,,,,,100,198,의자8개+책상2대+TV1대+에어컨1개,방문+전화,,경기도 연천군 연천읍 현문로508번길 216-1,경기도 연천군 연천읍 고문리 887,경기도 연천군청,,031-839-2621,,38.06192257,127.1270139,2023-02-24,4140000,경기도 연천군
통현1리 마을회관,통현1리 마을회관,기타,연중무휴,09:00,20:00,09:00,20:00,N,,,,,100,201,의자6개+TV2대+에어컨 4개+운동기구 7개+공부방,방문+전화,,경기도 연천군 연천읍 현문로21번길 60,경기도 연천군 연천읍 통현리 193-1,경기도 연천군청,,031-839-2621,,38.0788473,127.0792851,2023-02-24,4140000,경기도 연천군
대구교육연수원 소강의실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,8,20000,0,0,20,60,책상+의자,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 분임토의실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,8,20000,0,0,14,30,책상+의자,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 동아리실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,8,20000,0,0,20,29,책상+의자,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
창소2리(창소유수지공원)야외운동기구,창소2리(창소유수지공원),기타,연중무휴,00:00,23:59,00:00,23:59,N,,,,,,,,상시개방,,,충청남도 예산군 예산읍 창소리 151-2,예산읍행정복지센터,총무팀,041-339-8981,,36.68191684,126.8520004,2023-03-16,4610000,충청남도 예산군
대구교육연수원 컴퓨터실습실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,4,50000,4,50000,40,115,컴퓨터,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 멀티미디어실,대구교육연수원,강의실,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,4,50000,4,50000,30,100,컴퓨터,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 아름드리홀(대강당),대구교육연수원,강당,설연휴+추석 연휴,09:00,21:00,09:00,21:00,Y,12,340000,0,0,509,757,분장실+그랜드피아노+빔프로젝트+무대+조명+전자교탁,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000002368,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 민들레홀(중강당),대구교육연수원,강당,설연휴+추석 연휴,09:00,18:00,09:00,18:00,Y,4,50000,4,50000,217,227,조정실+LED중앙+LED좌우측,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000005442,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
대구교육연수원 연리지홀(작은 예식장),대구교육연수원,다목적실,평일+설연휴+추석 연휴,00:00,00:00,10:00,18:00,Y,3,100000,0,0,200,244,예식홀+신부대기실+폐백실,방문+전화,https://edu.deti.or.kr/homepage/html/htmlConvert.go?menuId=1000002368,대구광역시 달서구 당산로 121,대구광역시 달서구 감삼동 198-4,대구광역시 대구교육연수원,총무부,053-231-1045,http://edu.deti.or.kr,35.84820272,128.5448414,2023-05-12,7240037,대구광역시교육청 대구광역시교육연수원
학하동 행정복지센터 회의실,학하동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 학하북로 75-21(학하동),대전광역시 유성구 학하동 716-7,대전광역시 유성구 학하동 행정복지센터,학하동 행정복지센터,042-611-6080,https://www.yuseong.go.kr/kor/sub06_04_13_01.do,36.34115077,127.3087292,2023-05-10,3670000,대전광역시 유성구
원신흥동 행정복지센터 대회의실,원신흥동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 봉명로 27-18(원신흥동),대전광역시 유성구 원신흥동 491-14,대전광역시 유성구 원신흥동 행정복지센터,원신흥동 행정복지센터,042-611-6910,https://www.yuseong.go.kr/kor/sub06_04_02_01.do,36.34218726,127.3432994,2023-05-10,3670000,대전광역시 유성구
상대동 행정복지센터 회의실,상대동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,"대전광역시 유성구 월드컵대로316번길 28-7, 2층(상대동)",대전광역시 유성구 상대동 455-1,대전광역시 유성구 상대동 행정복지센터,상대동 행정복지센터,042-611-6050,https://www.yuseong.go.kr/kor/sub06_04_12_01.do,36.34680489,127.3346924,2023-05-10,3670000,대전광역시 유성구
온천1동 행정복지센터 소통방,온천1동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 도안대로589번길 35(봉명동),대전광역시 유성구 봉명동 451,대전광역시 유성구 온천1동 행정복지센터,온천1동 행정복지센터,042-611-6680,https://www.yuseong.go.kr/kor/sub06_04_03_01.do,36.35311603,127.3389679,2023-05-10,3670000,대전광역시 유성구
온천2동 행정복지센터 어학실,온천2동 행정복지센터,강의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 장대로 120(장대동),대전광역시 유성구 장대동 40-2,대전광역시 유성구 온천2동 행정복지센터,온천2동 행정복지센터,042-611-6710,https://www.yuseong.go.kr/kor/sub06_04_04_01.do,36.36541962,127.3334159,2023-05-10,3670000,대전광역시 유성구
노은1동 행정복지센터 대회의실,노은1동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 노은동로 87번길 89(노은동),대전광역시 유성구 노은동 546,대전광역시 유성구 노은1동 행정복지센터,노은1동 행정복지센터,042-611-6740,https://www.yuseong.go.kr/kor/sub06_04_05_01.do,36.3682653,127.3184383,2023-05-10,3670000,대전광역시 유성구
노은2동 행정복지센터 화합실,노은2동 행정복지센터,강의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 송림로19번길 35(하기동),대전광역시 유성구 하기동 411-1,대전광역시 유성구 노은2동 행정복지센터,노은2동 행정복지센터,042-611-6860,https://www.yuseong.go.kr/kor/sub06_04_06_01.do,36.38947101,127.3207797,2023-05-10,3670000,대전광역시 유성구
노은3동 행정복지센터 대회의실,노은3동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 지족동로 145(지족동),대전광역시 유성구 지족동 1024-2,대전광역시 유성구 노은3동 행정복지센터,노은3동 행정복지센터,042-611-6940,https://www.yuseong.go.kr/kor/sub06_04_07_01.do,36.38680769,127.3079048,2023-05-10,3670000,대전광역시 유성구
신성동 행정복지센터 대회의실,신성동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 신성로 55(하기동),대전광역시 유성구 하기동 18-6,대전광역시 유성구 신성동 행정복지센터,신성동 행정복지센터,042-611-6770,https://www.yuseong.go.kr/kor/sub06_04_08_01.do,36.38922162,127.347374,2023-05-10,3670000,대전광역시 유성구
전민동 행정복지센터 회의실,전민동 행정복지센터,회의실,주말+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,,,대전광역시 유성구 유성대로 1719(전민동),대전광역시 유성구 전민동 462-6,대전광역시 유성구 전민동 행정복지센터,전민동 행정복지센터,042-611-6800,https://www.yuseong.go.kr/kor/sub06_04_09_01.do,36.40001327,127.400381,2023-05-10,3670000,대전광역시 유성구
교하체육공원 축구장,교하체육공원,기타,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):60000원+평일(야간):80000원+토공휴일(주간):75000원+토공휴일(야,0,0,300,66879,인조잔디구장2면+족구장2면+테니스장4면+궁도장1면,파주시청홈페이지,,경기도 파주시 하지석길 165-75,경기도 파주시 하지석동 326-3,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.76328907,126.7428062,2023-05-02,4060000,경기도 파주시
교하체육공원 야구장,교하체육공원,야구장,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):40000원+평일(야간):60000원+토공휴일(주간):60000원+토공휴일(야,0,0,300,8000,야구장1면,파주시청홈페이지,,경기도 파주시 하지석길 165-75,경기도 파주시 하지석동 326-3,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.76328907,126.7428062,2023-05-02,4060000,경기도 파주시
파평체육공원 야구장,파평체육공원,야구장,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):40000원+평일(야간):60000원+토공휴일(주간):60000원+토공휴일(야,0,0,300,7900,야구장1면,파주시청홈페이지,,경기도 파주시 파평면 청송로484번길 16-50,경기도 파주시 파평면 눌노리 산8,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.93181818,126.8673518,2023-05-02,4060000,경기도 파주시
당동리풋살구장,당동리풋살구장,풋살경기장,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):30000원+평일(야간):45000원+토공휴일(주간):45000원+토공휴일(야,0,0,50,6431,풋살구장2면,파주시청홈페이지,,경기도 파주시 문산읍 자유로 4545,경기도 파주시 문산읍 당동리 129-1,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.86277767,126.7648711,2023-05-02,4060000,경기도 파주시
운정건강공원 축구장,운정건강공원,기타,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):60000원+평일(야간):80000원+토공휴일(주간):75000원+토공휴일(야,0,0,300,142200,인조잔디구장1면+족구장1면+테니스장5면+게이트볼장2면+풋살구장1면+엑스게임장+인공암벽,파주시청홈페이지,,경기도 파주시 와석순환로 172번길 35,경기도 파주시 동패동 1800,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.71548196,126.7419871,2023-05-02,4060000,경기도 파주시
운정체육공원 축구장,운정체육공원,기타,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):60000원+평일(야간):80000원+토공휴일(주간):75000원+토공휴일(야,0,0,300,59406,인조잔디구장2면+족구장2면+농구장2면+풋살구장1면+테니스3면+게이트장2면,파주시청홈페이지,,경기도 파주시 가람로 150번길 41-33,경기도 파주시 와동동 1516,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.73847541,126.7683596,2023-05-02,4060000,경기도 파주시
법원체육공원 축구장,법원체육공원,기타,둘째 주 월,07:00,22:00,07:00,22:00,Y,3,평일(주간):60000원+평일(야간):80000원+토공휴일(주간):75000원+토공휴일(야,0,0,300,21898,인조잔디구장1면+테니스장4면,파주시청홈페이지,,경기도 파주시 법원읍 술이홀로 679,경기도 파주시 법원읍 대능리 454-8,경기도 파주시청,체육과,031-940-5241,http://www.paju.go.kr/,37.83921539,126.8551984,2023-05-02,4060000,경기도 파주시
